id,name,date,text,location,sentiment
1.13E+18,Evolutionomics,Sun May 19 23:57:10 +0000 2019,By combining short positions on #Gold $GOLD $GLD and car rental services @Hertz @Avis $HTZ $CAR we are able to achieve a quasi Beta neutral position...allowing our longer term pessimism with these two asset groups to play out.,,bearish
1.13E+18,macrohedged,Sun May 19 23:55:02 +0000 2019,"Here are the #Volatility levels for the majors going into the Monday Asian open, stay lucky out there!: https://t.co/o6RpAvpwJt

#ES_F $SPY $SPX  #6E_F #CL_F #OOTT #GBPUSD $VIX #bonds $GOLD $AGS",England,unrelated
1.13E+18,Evolutionomics,Sun May 19 23:54:06 +0000 2019,"We have little insight into what will happen to #Gold in the near term, but we do think that $GLD price is unlikely to rise now that the #Crypto bull market is well underway. #Bitcoin $BTC is a substitute for gold and a much better one. Instant settlement with anyone in the world https://t.co/fGtIt8P5av",,neutral
1.13E+18,Evolutionomics,Sun May 19 23:50:59 +0000 2019,"This brings us to #Gold miners. As a group, $GDX has returns nothing to investors over the past five years. For $GOLD and other miners to do well they would need $GLD price to rise. That could happen, but would be unlikely to occur if the USA economy remains strong.",,neutral
1.13E+18,macrohedged,Sun May 19 23:50:04 +0000 2019,"Good morning Asia, here are the benchmark futures prices going into the Monday open: https://t.co/aAyLdhzOzN

#ES_F $SPY $SPX  #6E_F #CL_F #OOTT #GBPUSD $VIX #bonds $GOLD $AGS",England,unrelated
1.13E+18,SteHaller,Sun May 19 23:49:51 +0000 2019,"More #TraderKnowledge in my #ebooks:
https://t.co/rWXaZYjnOo

$ES_F $NQ_F $ZB_F $SPX $RUT $AAPL $NFLX $AMZN $TSLA $VIX $FB $MSFT $SPY $NDX $IWM $MCD $SLV $UVXY $LYFT $GLD $TLT $VXX $XLE $QQQ #Trading #options #goodreads #stocks #stockmarket #ipad #kindle #android #money #NASDAQ https://t.co/UhPy5Ean1C",Landshut/Bavaria/Germany,unrelated
1.13E+18,SteHaller,Sun May 19 23:49:28 +0000 2019,"More #TraderKnowledge in my #ebooks:
https://t.co/UqeeJkJ2iP

$ES_F $NQ_F $ZB_F $SPX $RUT $AAPL $NFLX $AMZN $TSLA $VIX $FB $MSFT $SPY $NDX $IWM $MCD $SLV $UVXY $LYFT $GLD $TLT $VXX $XLE $QQQ #Trading #options #goodreads #stocks #stockmarket #ipad #kindle #android #money #NASDAQ https://t.co/xRxMVS3wTS",Landshut/Bavaria/Germany,unrelated
1.13E+18,sachinsyd,Sun May 19 23:45:08 +0000 2019,We might have a bearish modified Head Shoulders here on #gold . Wait for support line to break ! #Xauusd #preciousmetals $gold #metals #tradewar #tariffs https://t.co/Xcp34qsJvM,Sydney,bearish
1.13E+18,AxiTrader,Sun May 19 23:38:43 +0000 2019,"⚡️ “Daily Digest: Asian Open – Liberals Win Election &amp; Trade War Persists”

https://t.co/wnrHE6Jniw
@axitrader
$SPX $DJIA $NASDAQ $AUDUSD $OIL $GOLD #ausbiz #ironore $EURUSD $USDJPY #forex #Brexit $BA $CAT #election2019 #Bitcoin
Losses may exceed deposits","Sydney, Australia",unrelated
1.13E+18,ChartLines,Sun May 19 23:38:15 +0000 2019,"As I’ve mentioned, I personally tend to use these $SPX cycles-based forecasts like a weather forecast. Mike also has $NDX &amp; $Gold forecasts as part of his https://t.co/vM7nKcxqPF services, &amp; daily updates, blog, &amp; more for his subscribers. https://t.co/dR5jIBZQFS",,unrelated
1.13E+18,Stock_Mkt_Club,Sun May 19 23:31:50 +0000 2019,"U.S. vs Global Sector Rotation....What Next? - Part II &gt; https://t.co/CsRWEUgQd2

$UUP $SPY $QQQ $GLD $SLV #dollar #silver #stockstowatch","Tucson, Az USA",unrelated
1.13E+18,ElCryptoChief,Sun May 19 23:27:01 +0000 2019,"Gold | $GOLD | $XAU $USD

Gold’s weekly outlook: May 20-24

Long or short it on WCX: https://t.co/2kfJ8dots9 https://t.co/BJsVYmeqwN","Madrid, Spain",neutral
1.13E+18,Trading_Analyst,Sun May 19 23:24:55 +0000 2019,[WATCH] When Will The Choppiness End In Gold? Here's What To Look For $GLD $GDX $JNUG $DUST $NUGT $JDST $DGLD $GLDI $IAU - click link &gt; https://t.co/tocyq2Ab9Z https://t.co/r5fs3CEWPO,Somewhere In The Caribbean,neutral
1.13E+18,TweetLeni,Sun May 19 23:07:05 +0000 2019,Australia political turnout good for gold and commodities $GLD,NYC,bullish
1.13E+18,SteHaller,Sun May 19 22:59:53 +0000 2019,"Lots of #trade #management examples and new #strategies in my 2nd #ebook:
https://t.co/ORyaydg1Bv
Available on #kindle #android #iPad

$ES_F $NQ_F $ZB_F $SPX $RUT $AAPL $NFLX $AMZN $TSLA $VIX $FB $MSFT $SPY $NDX $IWM $MCD $SLV $DIA $GLD $TLT $VXX $XLE $QQQ #NASDAQ #selfpublishing",Landshut/Bavaria/Germany,unrelated
1.13E+18,SteHaller,Sun May 19 22:59:49 +0000 2019,"Learn how to #manage your own #money by #trading #options:
https://t.co/GfRRJqJGNn

Available on #kindle #android #iPad

$ES_F $NQ_F $ZB_F $SPX $RUT $AAPL $NFLX $AMZN $TSLA $VIX $FB $MSFT $SPY $NDX $IWM $MCD $SLV $UVXY $DIA $GLD $TLT $VXX $XLE $QQQ #NASDAQ #selfpublishing #books",Landshut/Bavaria/Germany,unrelated
